"X","Y","DateTime"
"1169.6","586.7","291947902590"
"1119.0","542.5","291947910824"
"1110.8","562.0","291947919090"
"1114.8","566.8","291947927336"
"1109.8","553.8","291947943916"
"1101.3","539.3","291947952315"
"1105.2","529.3","291947960716"
"1106.8","525.0","291947969065"
"1093.1","511.4","291947977402"
"1121.7","501.1","291947985774"
"1118.0","519.2","291947994226"
"1113.8","518.9","291948002335"
"1113.4","507.0","291948010868"
"1117.3","495.8","291948018827"
"1102.2","557.4","291948027436"
"1063.3","473.7","291949581879"
"833.9","557.5","291949590103"
"861.9","567.9","291949598532"
"911.1","587.9","291949606794"
"911.1","587.9","291949615267"
"906.2","572.8","291949623536"
"910.7","553.4","291949631895"
"934.3","557.8","291949640080"
"909.7","593.7","291949648553"
"913.1","583.5","291949656873"
"908.1","552.9","291949665236"
"908.1","553.2","291949673442"
"915.7","547.3","291949681852"
"934.4","508.8","291949690169"
"943.5","557.3","291949698533"
"937.9","535.5","291949706839"
"937.9","535.5","291949715246"
"957.9","600.2","291949731819"
"1147.7","560.6","291950031776"
"1062.7","385.7","291950065133"
"1100.9","434.2","291950073471"
"1107.2","466.5","291950081820"
"1155.6","446.1","291950098385"
"1136.1","404.0","291950115105"
"1085.6","418.4","291950123433"
"1105.0","506.1","291950140131"
"1103.7","468.8","291950148513"
"1093.2","528.3","291950165187"
"1101.9","540.5","291950173528"
"1102.0","546.0","291950190103"
"1092.1","531.4","291950198533"
"1077.5","390.9","291950215170"
"1094.7","434.2","291950223498"
"1047.1","449.5","291950231669"
"1070.4","493.5","291950240133"
"1067.2","487.2","291950248470"
"1112.8","491.0","291950256826"
"1108.9","497.4","291950265158"
"1120.0","501.4","291950273349"
"1104.5","529.2","291950281776"
"1112.2","483.8","291950290078"
"1110.2","479.3","291950298493"
"1119.6","466.8","291950306711"
"1126.9","479.4","291950315258"
"1117.5","501.1","291950331761"
"1116.8","494.8","291950340145"
"1113.4","475.2","291950365178"
"1122.5","502.2","291950373432"
"1100.9","502.0","291950381854"
"1117.1","516.4","291950390082"
"1116.2","507.4","291950398426"
"1130.2","521.2","291950406770"
"1140.3","487.8","291950415159"
"1129.7","489.5","291950423479"
"1126.5","489.2","291950431832"
"1110.4","505.2","291950440114"
"1103.3","515.6","291950448405"
"1108.7","465.4","291950456797"
"1098.8","472.8","291950465191"
"1086.0","480.1","291950473472"
"1081.7","532.4","291950481824"
"1091.2","484.2","291950490019"
"1077.3","505.4","291950498375"
"1086.4","519.4","291950506792"
"1103.1","515.2","291950515086"
"1117.6","478.9","291950523330"
"1125.3","516.2","291950540087"
"1131.7","533.5","291950548384"
"1109.8","508.7","291950556798"
"1092.5","478.3","291950565093"
"1090.6","483.7","291950573337"
"1105.7","483.2","291950581757"
"1088.2","485.3","291950590086"
"1051.5","486.4","291950598407"
"1055.3","555.2","291950606803"
"1097.5","573.6","291950615055"
"1110.7","513.2","291950623393"
"1079.5","470.8","291950631682"
"963.4","395.0","291950640084"
"1018.1","415.2","291950648344"
"1058.6","461.3","291950656785"
"1113.7","494.7","291950664996"
"1116.0","489.7","291950673436"
"1116.0","489.7","291950681798"
"1086.1","501.0","291950689977"
"1053.9","467.3","291950699181"
"1033.1","459.1","291950706766"
"1048.2","478.6","291950715164"
"1054.3","470.8","291950723441"
"1118.2","539.3","291950731685"
"1093.3","567.1","291950756815"
"1065.8","557.6","291950764931"
"1051.7","582.1","291950773255"
"1059.3","559.7","291950781684"
"1017.5","651.0","291950789928"
"1025.3","656.8","291950798483"
"1032.9","660.3","291950815069"
"1024.7","699.9","291950823307"
"1063.0","692.6","291950840128"
"1068.9","601.1","291950848444"
"1072.5","605.9","291950865188"
"1075.9","644.4","291950873467"
"1087.0","642.8","291950890069"
"992.0","584.5","291950898439"
"1024.8","638.9","291950906668"
"983.1","648.2","291950915160"
"989.8","658.1","291950923306"
"1020.4","662.4","291950939982"
"1030.3","631.9","291950948384"
"1088.1","591.7","291950965063"
"1091.3","572.8","291950973265"
"1004.0","543.2","291950990014"
"1095.4","473.8","291951198409"
"1084.9","480.1","291951215033"
"1058.3","431.9","291951223428"
"1003.6","404.4","291951239859"
"1046.4","405.0","291951248159"
"1121.5","426.1","291951265067"
"1085.4","427.2","291951273414"
"988.9","447.8","291951281745"
"966.1","444.2","291951290034"
"974.7","438.6","291951298373"
"1049.3","470.5","291951306610"
"1060.3","390.8","291951315060"
"1060.3","390.8","291951331585"
"1065.6","422.3","291951339923"
"1062.8","453.6","291951348352"
"1062.8","453.6","291951356611"
"1066.7","454.6","291951365046"
"1068.4","420.8","291951373304"
"1067.5","418.5","291951389866"
"1049.5","437.9","291951398339"
"1093.8","439.4","291951415098"
"1068.4","448.5","291951423377"
"1070.5","458.0","291951431604"
"1076.2","462.4","291951440031"
